Strain,Date collected,Host ID
2070,6-May-17,SP
2072,6-May-17,SP
2073,6-May-17,SP
2076,6-May-17,SP
2082a,17-Apr-15,SP 
2082b,17-Apr-15,SP 
2088a,17-Apr-15,SP 
274,18-Apr-15,BH
293,17-Apr-15,SP 
300,10-Apr-15,BH
323,18-Apr-15,SP 
334,8-Apr-15,FP
342b,20-Apr-15,FP
344,18-Apr-15,SP 
362,20-Apr-15,SP 
363,20-Apr-15,SP 
371b,8-Apr-15,SP 
380,8-Apr-15,SP 
382,8-Apr-15,SP 
393,10-Apr-15,SP 
406,10-Apr-15,SP 
411,20-Apr-15,SP 
434,18-Apr-15,FP
455,20-Apr-15,BD
456,20-Apr-15,BD
481,20-Apr-15,BD
623,28-Apr-15,SP 
626,28-Apr-15,SP 
670,28-Apr-15,PA
695,28-Apr-15,FP
818,25-Apr-15,SP 
839,25-Apr-15,SP 
842a,25-Apr-15,SP 
842b,25-Apr-15,SP 
860,25-Apr-15,SP 
872a,20-Apr-15,SP 
873,20-Apr-15,SP 
874a,20-Apr-15,SP 
875,20-Apr-15,SP 
879a,20-Apr-15,SP 
885a,20-Apr-15,SP 
887,20-Apr-15,SP 
898,25-Apr-15,SP 
902,25-Apr-15,SP 
